participant,xgboost_accuracy,xgboost_augmented_accuracy,improvement,xgboost_f1,xgboost_augmented_f1,f1_improvement
vp01,0.6,0.55,-0.04999999999999993,0.5833333333333333,0.5396419437340153,-0.043691389599317954
vp02,0.5365853658536586,0.5365853658536586,0.0,0.4689684921904488,0.524338973119461,0.0553704809290122
vp03,0.325,0.55,0.22500000000000003,0.3036750483558994,0.4642857142857143,0.16061066592981488
vp04,0.425,0.475,0.04999999999999999,0.3943383805134958,0.4666666666666666,0.07232828615317083
vp05,0.475,0.475,0.0,0.4129979035639413,0.43204868154158216,0.019050777977640876
SUMMARY,0.47231707317073174,0.5173170731707317,0.04500000000000002,0.4326626315914237,0.48539639586948785,0.052733764278064164
