feature,importance
62,0.008037415206596028
43,0.00834487011484029
35,0.008520278376720633
65,0.0085431530854409
34,0.008751829765853099
2,0.009019881594282039
76,0.009062305580658068
68,0.009114039065275109
18,0.009306367315720963
61,0.009345857519860187
19,0.009520372313093039
38,0.009625314790364362
26,0.00969786137613019
32,0.00975408265323461
22,0.009768330635538105
77,0.009789751745348109
60,0.009847239272902106
17,0.009898119608650452
75,0.009983947727917334
63,0.010338105956397874
12,0.010412444992623433
23,0.010496625419502878
40,0.010578383382954177
1,0.0107848011051013
64,0.010813792640058632
66,0.010850183619815391
69,0.010891802811155354
70,0.01114327652790989
54,0.011324254991339303
72,0.0113659237878208
8,0.011431456269929632
0,0.01145844063487034
67,0.011554251086741855
31,0.011655546799444257
71,0.011738392392409869
25,0.011822148928646985
28,0.011866892677464823
10,0.012129362871171083
41,0.012187884519949519
3,0.01226995843513373
73,0.012278974760900781
46,0.012563848753006536
30,0.012624803966578113
5,0.012641319648283826
6,0.01270614319872447
11,0.012756075657770087
14,0.012769432544413886
47,0.012943418377305383
39,0.013003199328604324
7,0.013145134610197146
27,0.01360104220324187
58,0.013812322390458974
56,0.013843021782204385
16,0.013972373588910538
59,0.013996068113514372
13,0.014023251093180472
36,0.014025776721715698
42,0.014029937523284264
44,0.01408439731969199
37,0.014115740612242671
50,0.014150707635273815
74,0.014179671045466103
52,0.014338903728147036
4,0.014511566959000943
20,0.014695935027026624
48,0.015508572100550379
45,0.015745864513059565
33,0.015843366956765317
57,0.01603741510035472
24,0.016799431782611524
9,0.01788993616784656
49,0.01805593958736372
29,0.018423136323836433
51,0.01936263623297369
21,0.021775010703766896
53,0.022441342656363217
55,0.024032196162231647
15,0.026227137524265413
